Date,LF98TRUU,LUACTRUU,BCOMTR,Russell2000,Russell1000,SPXT
3/31/1989,199.17,402.55,77.6861,158.0001,156.1134,475.6333
2/28/1989,200.74,401.37,74.6529,154.5638,153.0338,464.7904
1/31/1989,200.3,403.65,72.6577,153.7027,156.722,476.6693
12/30/1988,196.83,397.77,73.4768,147.2809,146.8694,444.2006
11/30/1988,195.91,396.69,69.1594,142.0339,144.4088,436.5843
10/31/1988,194.76,400.54,67.4211,147.1923,147.3115,442.8962
9/30/1988,192.43,393.66,66.01,149.0312,144.5596,430.8985
8/31/1988,190.04,385.35,69.404,145.4179,139.1755,413.2901
7/29/1988,190.32,383.73,69.3543,149.6508,143.847,427.8221
6/30/1988,189.08,384.6,72.9131,151.2563,145.2567,429.4505
5/31/1988,186.36,375.61,70.0936,141.4263,138.5409,410.6076
4/29/1988,186.08,377.66,67.021,145.5989,138.3432,407.0866
3/31/1988,184.67,380.35,65.2636,142.4966,137.4693,402.6333
2/29/1988,186.61,383.65,62.6957,136.3323,141.5425,415.4683
1/29/1988,180.76,378.46,63.6762,125.3233,135.763,396.9639
12/31/1987,174.91,364.18,62.9327,120.3057,130.15,380.9407
11/30/1987,170.8,357.42,64.3904,111.5702,121.6446,354.0095
10/30/1987,166.02,353.65,63.0404,118.1128,132.4129,385.8036
9/30/1987,171.63,342.23,62.3789,170.4053,169.4982,491.6964
8/31/1987,177.21,352.16,61.3109,173.745,173.7743,502.7171
7/31/1987,176.12,354.15,63.2196,169.0815,167.4747,484.6342
6/30/1987,175.65,355.12,62.4067,164.1162,160.8004,461.2674
5/29/1987,173.43,350.03,61.7661,160.2212,153.8921,439.0932
4/30/1987,172.19,351.63,60.3048,161.0621,153.3875,435.3191
